fk_sensor,valor,data_captura
2,2.904261435541316,2025-03-10 15:48:14
2,2.924754316898894,2025-03-10 15:49:14
2,2.9987579226814414,2025-03-10 15:50:14
2,2.7391526729325135,2025-03-10 15:51:14
2,3.289204640132002,2025-03-10 15:52:14
2,2.7467759745417233,2025-03-10 15:53:14
2,2.410765712357952,2025-03-10 15:54:14
2,2.1652238075708308,2025-03-10 15:55:14
2,2.6460203072812476,2025-03-10 15:56:14
2,2.7136664086811897,2025-03-10 15:57:14
2,3.0085057933177373,2025-03-10 15:58:14
2,1.9673700016134088,2025-03-10 15:59:14
2,2.336646604724589,2025-03-10 16:00:14
2,2.5574742023030295,2025-03-10 16:01:14
2,2.824048712573876,2025-03-10 16:02:14
2,2.875095717412478,2025-03-10 16:03:14
2,2.6480655620429667,2025-03-10 16:04:14
2,2.3597665431297266,2025-03-10 16:05:14
2,3.520794729640109,2025-03-10 16:06:14
2,1.9627633905193185,2025-03-10 16:07:14
2,2.1076772095486285,2025-03-10 16:08:14
2,3.504962090984488,2025-03-10 16:09:14
2,3.0511027572862157,2025-03-10 16:10:14
2,2.9938235458288616,2025-03-10 16:11:14
2,2.8512289166079787,2025-03-10 16:12:14
2,2.4726283528574604,2025-03-10 16:13:14
2,2.7315597683862682,2025-03-10 16:14:14
2,3.1293988726342077,2025-03-10 16:15:14
2,2.8257732106289195,2025-03-10 16:16:14
2,3.0160719585997318,2025-03-10 16:17:14
2,2.077019600252013,2025-03-10 16:18:14
2,1.994445069166084,2025-03-10 16:19:14
2,2.683444860818001,2025-03-10 16:20:14
2,3.3137541998645013,2025-03-10 16:21:14
2,2.5942246921844285,2025-03-10 16:22:14
2,3.4482508316037332,2025-03-10 16:23:14
2,2.9612817460212395,2025-03-10 16:24:14
2,2.8320686751128905,2025-03-10 16:25:14
2,3.154203524139546,2025-03-10 16:26:14
2,2.5618843258846224,2025-03-10 16:27:14
2,2.706592252558655,2025-03-10 16:28:14
2,3.3878734604596725,2025-03-10 16:29:14
2,2.3063498686134323,2025-03-10 16:30:14
2,2.686286124438174,2025-03-10 16:31:14
2,2.060408034883468,2025-03-10 16:32:14
2,2.118743856103281,2025-03-10 16:33:14
2,3.0281550003761177,2025-03-10 16:34:14
2,2.9041883222819727,2025-03-10 16:35:14
2,2.2759827537885213,2025-03-10 16:36:14
2,2.7044356067237727,2025-03-10 16:37:14
2,3.48745702290227,2025-03-10 16:38:14
2,1.985696149838982,2025-03-10 16:39:14
2,2.896328308412774,2025-03-10 16:40:14
2,2.604017045758946,2025-03-10 16:41:14
2,3.50242522527543,2025-03-10 16:42:14
2,2.0868200675593704,2025-03-10 16:43:14
2,2.8960741467190885,2025-03-10 16:44:14
2,2.191107531858252,2025-03-10 16:45:14
2,2.5182799386402674,2025-03-10 16:46:14
2,3.027232405383466,2025-03-10 16:47:14
2,3.042115800995346,2025-03-10 16:48:14
2,3.1306459109751295,2025-03-10 16:49:14
2,2.4548239529190248,2025-03-10 16:50:14
2,3.3464620983285234,2025-03-10 16:51:14
2,2.712177330306392,2025-03-10 16:52:14
2,2.4485274320640804,2025-03-10 16:53:14
2,2.1995667025321857,2025-03-10 16:54:14
2,2.5791857086353653,2025-03-10 16:55:14
2,2.3091989491610656,2025-03-10 16:56:14
2,3.1824242148067254,2025-03-10 16:57:14
2,2.71095095008161,2025-03-10 16:58:14
2,2.173043254532737,2025-03-10 16:59:14
2,3.076950489406949,2025-03-10 17:00:14
2,2.417446035307263,2025-03-10 17:01:14
2,1.9860761643352658,2025-03-10 17:02:14
2,2.4868199612490103,2025-03-10 17:03:14
2,2.823346656702792,2025-03-10 17:04:14
2,2.3807768983857853,2025-03-10 17:05:14
2,2.28990243854245,2025-03-10 17:06:14
2,2.258117394306325,2025-03-10 17:07:14
2,1.9724544408211901,2025-03-10 17:08:14
2,2.4304586130302863,2025-03-10 17:09:14
2,2.662405500023032,2025-03-10 17:10:14
2,3.2021754515484067,2025-03-10 17:11:14
2,3.3451207473867495,2025-03-10 17:12:14
2,3.344037065886535,2025-03-10 17:13:14
2,2.025745680013988,2025-03-10 17:14:14
2,3.01980261429349,2025-03-10 17:15:14
2,3.192686766007854,2025-03-10 17:16:14
2,3.3824727272911854,2025-03-10 17:17:14
2,3.5297471956085866,2025-03-10 17:18:14
2,2.639911593508796,2025-03-10 17:19:14
2,2.217407766491054,2025-03-10 17:20:14
2,3.4951823731218075,2025-03-10 17:21:14
2,3.0566531618567794,2025-03-10 17:22:14
2,3.4985884015425164,2025-03-10 17:23:14
2,2.0810186298465743,2025-03-10 17:24:14
2,3.3914694073134912,2025-03-10 17:25:14
2,3.1727528352107983,2025-03-10 17:26:14
2,2.101748208191636,2025-03-10 17:27:14
2,3.3833814326262805,2025-03-10 17:28:14
2,3.275294511813516,2025-03-10 17:29:14
2,3.356016420162743,2025-03-10 17:30:14
2,3.025046615172538,2025-03-10 17:31:14
2,2.1358935573529867,2025-03-10 17:32:14
2,2.9898783553402457,2025-03-10 17:33:14
2,2.326919314786439,2025-03-10 17:34:14
2,1.9451221685011981,2025-03-10 17:35:14
2,2.630331116898019,2025-03-10 17:36:14
2,2.4627902673239705,2025-03-10 17:37:14
2,3.1196924717887287,2025-03-10 17:38:14
2,2.0306406497107656,2025-03-10 17:39:14
2,2.7144422688638934,2025-03-10 17:40:14
2,3.379819877153287,2025-03-10 17:41:14
2,2.8018602315084715,2025-03-10 17:42:14
2,3.1157804462996985,2025-03-10 17:43:14
2,2.0660096201398384,2025-03-10 17:44:14
2,3.2977714639041262,2025-03-10 17:45:14
2,2.805384290682566,2025-03-10 17:46:14
2,2.7309369194594697,2025-03-10 17:47:14
2,3.519045378454291,2025-03-10 17:48:14
2,3.3526372675431033,2025-03-10 17:49:14
